"names","scores","logfoldchanges","pvals","pvals_adj","group"
"Osbpl5",5.887789,1.1374593,5.16757180243692e-09,1.21066588794555e-08,"natural killer cell"
"Rpp21",5.8850856,0.557107,5.23229482509689e-09,1.22541682806484e-08,"natural killer cell"
"St3gal4",5.8834796,0.75864,5.28569921592417e-09,1.23771604347991e-08,"natural killer cell"
"2410001C21Rik",5.8746233,0.64603096,5.56508627426395e-09,1.30182433244881e-08,"natural killer cell"
"1110005A03Rik",5.8634357,0.5153455,5.93277239160616e-09,1.38643821493284e-08,"natural killer cell"
"Pigc",5.863358,1.1355456,5.95992647182492e-09,1.39255012444234e-08,"natural killer cell"
"Gpank1",5.8564353,0.9598545,6.20105654258259e-09,1.44840449881363e-08,"natural killer cell"
"Dda1",5.854502,0.6219627,6.2615847092472e-09,1.46180648561848e-08,"natural killer cell"
"2310001H17Rik",5.8542104,0.9723378,6.27981966179155e-09,1.46581773158619e-08,"natural killer cell"
"Nfatc3",5.845494,0.9285896,6.60926362449142e-09,1.54168161723434e-08,"natural killer cell"
"Atf1",5.839471,0.62963706,6.83440113603671e-09,1.59312957492912e-08,"natural killer cell"
"Pde3b",5.8213935,1.1196487,7.61145253655097e-09,1.77218649876779e-08,"natural killer cell"
"Chtf8",5.820927,0.68084276,7.61328325217504e-09,1.7723163236376e-08,"natural killer cell"
"Ypel1",5.82027,2.9379027,7.69699317987354e-09,1.791204313892e-08,"natural killer cell"
"Traf3ip3",5.808001,0.7964601,8.20266008513986e-09,1.90760492892135e-08,"natural killer cell"
"Gzmm",5.807106,2.514746,8.2999612287648e-09,1.92926632602496e-08,"natural killer cell"
"Emid1",5.807002,1.1799976,8.26836510214897e-09,1.92256406525832e-08,"natural killer cell"
"2310011J03Rik",5.7912645,0.72020626,9.04669483218383e-09,2.10003399631201e-08,"natural killer cell"
"Gpr68",5.7885714,2.7281072,9.24537431319788e-09,2.14543850331768e-08,"natural killer cell"
"Exoc6",5.7874894,1.2009127,9.26611490203193e-09,2.14989309251978e-08,"natural killer cell"
"Ssbp4",5.782752,0.6863372,9.50141652128255e-09,2.20338529723096e-08,"natural killer cell"
"Nprl2",5.7778764,1.1829069,9.79227083403628e-09,2.26894477830591e-08,"natural killer cell"
"Fam192a",5.7736955,0.76597846,1.00102629302394e-08,2.31868336525563e-08,"natural killer cell"
"Rchy1",5.7714257,0.6715283,1.01398244108628e-08,2.34791243552264e-08,"natural killer cell"
"Plcg2",5.7705545,0.9577063,1.02056746210989e-08,2.36276727757055e-08,"natural killer cell"
"Fip1l1",5.7640495,0.7638942,1.05873608555286e-08,2.44991107828812e-08,"natural killer cell"
"Nrbp1",5.759305,0.64827657,1.0867996839331e-08,2.51401435693465e-08,"natural killer cell"
"H2-Q7",5.740675,2.1247153,1.21596709430031e-08,2.80907366740037e-08,"natural killer cell"
"Znrf3",5.7365093,1.2925888,1.2430389374879e-08,2.87018494754836e-08,"natural killer cell"
"2010109K11Rik",5.7330084,1.0281138,1.26711030817031e-08,2.92431077586852e-08,"natural killer cell"
"Tada1",5.729022,1.0499439,1.29679883773361e-08,2.99133995361883e-08,"natural killer cell"
"Mcam",5.7226596,1.3638269,1.34400659041003e-08,3.09766816971823e-08,"natural killer cell"
"Mxd1",5.714628,1.0171468,1.40650375369156e-08,3.23903039787266e-08,"natural killer cell"
"Rad54l2",5.7052774,1.4264629,1.4873367864502e-08,3.42121867220312e-08,"natural killer cell"
"Fbxo28",5.7044373,0.97884107,1.49159163230649e-08,3.43043897461402e-08,"natural killer cell"
"Kpna4",5.703459,0.65744716,1.49789516833733e-08,3.44436713551768e-08,"natural killer cell"
"Plekha5",5.702681,1.3654699,1.50950423469257e-08,3.46934265331933e-08,"natural killer cell"
