"names","scores","logfoldchanges","pvals","pvals_adj","group"
"CNR2",23.028263,4.8657146,1.94673453177949e-111,1.49572441750402e-110,"B cell"
"LOC105868683",22.918598,1.4852991,1.15870722654697e-110,8.87019096240733e-110,"B cell"
"TNFRSF13B",22.814686,2.630723,1.20997346362254e-109,9.19784170453138e-109,"B cell"
"LY86",22.67804,1.785081,1.67669078271758e-108,1.2675347858121e-107,"B cell"
"IKZF3",22.67705,2.9142978,2.44428393126885e-108,1.8447171830024e-107,"B cell"
"IFNAR1",22.523354,2.375902,5.59768206574934e-107,4.19347038063946e-106,"B cell"
"CXCR4",22.345345,1.3831495,1.39329314244538e-105,1.03321425336106e-104,"B cell"
"LY9",22.30923,2.1748881,3.87338117489616e-105,2.86493820281228e-104,"B cell"
"STAP1",21.902039,3.120777,1.6779193224545e-101,1.21707090081075e-100,"B cell"
"BACH2",21.689585,3.097838,1.18194720399756e-99,8.47178672674226e-99,"B cell"
"LOC105854773",21.631481,1.3733103,2.47155731128742e-99,1.7651019791785e-98,"B cell"
"RPS27",21.612232,16.371979,3.10321191166246e-99,2.21369943682528e-98,"B cell"
"AVPR2",21.566484,2.8367605,1.2779175470617e-98,9.08321768336729e-98,"B cell"
"TRAF5",21.521137,3.090787,3.17642983982015e-98,2.25064375585548e-97,"B cell"
"CSK",21.437494,1.3492228,1.32000339403844e-97,9.31511465683251e-97,"B cell"
"IFI16",21.29519,1.6160417,2.24219361858824e-96,1.56754556751935e-95,"B cell"
"SCIMP",21.248007,3.3933778,6.82103150106703e-96,4.75285010099781e-95,"B cell"
"FFAR1",21.196411,5.7201257,2.01238079400912e-95,1.39757783642128e-94,"B cell"
"TMEM154",20.890764,1.1483123,4.5414084332589e-93,3.10671381510106e-92,"B cell"
"FCRL4",20.841816,4.4835277,1.85334565039689e-92,1.26263931023472e-91,"B cell"
"LOC105871760",20.83113,1.1822964,1.35116310535019e-92,9.21909880608036e-92,"B cell"
"RPS8",20.747673,7.1439776,5.42756034755408e-92,3.6865056906894e-91,"B cell"
"EVL",20.733095,1.5947534,1.08305404976098e-91,7.34365182998039e-91,"B cell"
"STRBP",20.69898,1.6930223,2.13664876906459e-91,1.44440390612435e-90,"B cell"
"HIP1R",20.67753,1.6119225,3.12058268506737e-91,2.10729618139279e-90,"B cell"
"RPS23",20.67042,9.077253,2.04436545779174e-91,1.38290921446028e-90,"B cell"
"RPS26",20.644142,5.5453525,4.55372907829374e-91,3.07179296784323e-90,"B cell"
"MAP3K1",20.63489,1.3301251,6.65490116152253e-91,4.47862624302463e-90,"B cell"
"LOC105871739",20.625399,5.1274357,5.20749463535192e-91,3.51129784860483e-90,"B cell"
"SEPT6",20.601374,1.3203272,1.33410935876635e-90,8.95917557232929e-90,"B cell"
"SWAP70",20.593084,3.055607,2.09893799899025e-90,1.40833554962061e-89,"B cell"
"CARD11",20.528788,2.8460906,6.71149957786857e-90,4.49177230669203e-89,"B cell"
"LOC105873385",20.512657,10.62836,5.23566029181473e-90,3.50478904046719e-89,"B cell"
"SYK",20.211836,1.2432729,2.06852290031618e-87,1.36553714783287e-86,"B cell"
"PDE4B",20.211102,1.3621978,1.95932512207871e-87,1.29372119177657e-86,"B cell"
"LOC105879981",20.088455,1.0922287,1.55014796759065e-86,1.01757525647529e-85,"B cell"
"TNFAIP8",20.075357,1.0883137,2.50851583292026e-86,1.64497035129e-85,"B cell"
"ZNF296",19.991335,1.7946713,1.38265901418804e-85,9.04238332877772e-85,"B cell"
"RPS27A",19.93062,8.322388,2.57220675923916e-85,1.67800544051484e-84,"B cell"
"LOC105883773",19.929958,1.0614249,2.19811904212568e-85,1.43485669977912e-84,"B cell"
"LOC105885300",19.889347,0.9977114,5.24668807234363e-85,3.41424813034852e-84,"B cell"
"PRKD2",19.868216,1.647757,1.33994007241432e-84,8.69443404895031e-84,"B cell"
"LOC105859851",19.832691,1.6087027,2.57858520326137e-84,1.66800741469026e-83,"B cell"
"LOC105857549",19.831577,1.1116538,1.2444425370853e-84,8.07810875587571e-84,"B cell"
"RPL38",19.739056,4.2331758,1.04648927679177e-83,6.73622688915868e-83,"B cell"
"REL",19.691902,1.6078436,3.42171579726558e-83,2.19403425022468e-82,"B cell"
"LOC105861633",19.684933,4.1500654,2.35527270501547e-83,1.51206780078102e-82,"B cell"
"KMO",19.671535,2.4792173,5.25684597502195e-83,3.36525720899973e-82,"B cell"
"LOC105867263",19.529533,0.97827286,3.02887889251652e-82,1.92957834662966e-81,"B cell"
"CD69",19.488523,2.2124064,1.41423933162561e-81,8.97327166737642e-81,"B cell"
"LOC105879067",19.471151,1.6848279,1.94253725172248e-81,1.23128960499947e-80,"B cell"
"LOC105857341",19.3976,1.1309339,4.26018286763408e-81,2.69438181405624e-80,"B cell"
"LOC105875739",19.26184,1.2741987,7.1332643872158e-80,4.46576649268394e-79,"B cell"
"SH3BP5",19.225466,0.9711941,9.14973058829521e-80,5.71908075990069e-79,"B cell"
"RPL30",19.098574,3.8530579,8.63078702350087e-79,5.36385539099584e-78,"B cell"
"LOC105883272",18.988857,1.2310728,9.50911420051289e-78,5.87841238657957e-77,"B cell"
"SMCHD1",18.904833,1.0725205,4.13243795560845e-77,2.54264767707999e-76,"B cell"
"RPL26",18.891794,4.6923466,3.22408170788505e-77,1.98529588692105e-76,"B cell"
"LOC105855296",18.812115,0.9692619,1.82777885560977e-76,1.11828124196909e-75,"B cell"
"YPEL3",18.743422,0.785978,6.06601584771793e-76,3.69484038944025e-75,"B cell"
"LOC105882742",18.695084,2.319304,2.0873371897148e-75,1.26626699096503e-74,"B cell"
"RPS21",18.541245,7.8056383,2.14663952559473e-74,1.29402075400735e-73,"B cell"
"LOC105859120",18.515867,4.891624,5.23950061863295e-74,3.15240452534859e-73,"B cell"
"MAP4K1",18.506237,1.7365963,5.48665516690713e-74,3.30047761844362e-73,"B cell"
"LOC105872124",18.432367,2.4831913,2.07194098198271e-73,1.24210023594546e-72,"B cell"
"ZC3H12D",18.402481,2.474563,3.48456662322804e-73,2.08498309402378e-72,"B cell"
"BTK",18.40074,1.4070051,3.14068689769745e-73,1.87993737575131e-72,"B cell"
"SMIM14",18.314299,1.1890756,1.40191853093655e-72,8.33925825774583e-72,"B cell"
"FAM129C",18.250277,5.0353374,5.12761361766795e-72,3.03866799847845e-71,"B cell"
"LOC105880641",18.11093,1.1739597,4.16126491464612e-71,2.44758813133442e-70,"B cell"
"MBD4",18.086605,1.6425576,7.29294360528705e-71,4.28239582666772e-70,"B cell"
"MYCBP2",18.031282,0.98129594,1.67640125655154e-70,9.82729808235954e-70,"B cell"
"PLCG2",17.995747,1.2263442,3.22099840434783e-70,1.88189205864261e-69,"B cell"
"GNG7",17.950275,1.8648247,7.57840851320366e-70,4.41872823542809e-69,"B cell"
