DepMap_ID,stripped_cell_line_name,CCLE_Name,sex,primary_disease,Subtype,lineage.x,lineage_subtype,lineage_sub_subtype,lineage.y,1st_rank_DEG,2nd_rank_DEG,3rd_rank_DEG,4th_rank_DEG,5th_rank_DEG,6th_rank_DEG,7th_rank_DEG,8th_rank_DEG,9th_rank_DEG,10th_rank_DEG
ACH-000920,CMLT1,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",blood,CML,blast_crisis,blood,CD3D,AIF1,SH2D1A,CD79A,CD3E,LCK,LAIR1,LTB,ITM2A,SASH3
ACH-000921,NCIH1339,NCIH1339_LUNG,Female,Lung Cancer,Small Cell Lung Cancer (SCLC),lung,SCLC,,lung,CXCL5,MAGEA4,XAGE1B,CSF3,CXCL1,CT45A1,TFPI2,G0S2,MAGEA10,CXCL8
ACH-000922,RCHACV,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",blood,ALL,b_cell,blood,DNTT,IGLL1,VPREB1,TCL1A,IRAG2,MT1G,CXorf21,VPREB3,GMFG,BLK
ACH-000923,BCP1,BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"B-cell, Non-Hodgkins",lymphocyte,non_hodgkin_lymphoma,b_cell,lymphocyte,EPX,CTAG1B,RTBDN,PAGE5,GAGE2E,IL2RB,IRF4,IL10,ITM2A,CD48
ACH-000924,NCIH2172,NCIH2172_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",lung,NSCLC,,lung,ACTC1,CES1,AKR1C2,DIO2,ECEL1,PSG5,CYP24A1,KRT81,CPS1,VTN
ACH-000925,DV90,DV90_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,SPINK7,AGR2,ALPG,REG4,MUC6,PI3,IGFL2,S100P,DHRS2,GAGE12D
ACH-000926,HT55,HT55_LARGE_INTESTINE,Unknown,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,PHGR1,HMGCS2,SLC26A3,FABP1,LGALS4,DPEP1,TSPAN8,GPA33,CDH17,LY6G6D
ACH-000927,BT474,BT474_BREAST,Female,Breast Cancer,Breast Ductal Carcinoma,breast,breast_ductal_carcinoma,ERpos_HER2pos,breast,TCN1,TFF1,MUCL1,TFF3,ALDH3B2,IGFBP5,SPDEF,BCAS1,ADIRF,EPN3
ACH-000928,JHUEM1,JHUEM1_ENDOMETRIUM,Female,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,uterus,endometrial_adenocarcinoma,,uterus,SLPI,MAL,HAPLN3,FAM107A,CALB2,AGR2,SLC34A2,PAX8,TNNC1,SOX17
ACH-000929,NCIH2110,NCIH2110_LUNG,Unknown,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",lung,NSCLC,,lung,TFF1,CEACAM6,AKR1C2,MUC4,AGR2,FGG,AKR1B10,KRT7,S100A14,STEAP4
ACH-000930,HCC1569,HCC1569_BREAST,Female,Breast Cancer,Carcinoma,breast,breast_carcinoma,ERneg_HER2pos,breast,REG1A,PPP1R1B,TF,CHI3L1,KRT81,A2M,CRABP1,AZGP1,CAPS,CRYAB
ACH-000931,HMCB,HMCB_SKIN,Female,Skin Cancer,Melanoma,skin,melanoma,,skin,COL11A1,LRRN1,FAM9B,NTS,SEZ6L,PLP1,SH2D7,SOX10,IGFBP5,CDH19
ACH-000932,SNU1,SNU1_STOMACH,Male,Gastric Cancer,Adenocarcinoma,gastric,gastric_adenocarcinoma,,gastric,CCK,BMP10,NXF3,FBLN2,SOSTDC1,TNFRSF11B,TEX19,CHI3L2,SSX1,RPS4Y1
ACH-000933,SNU324,SNU324_PANCREAS,Male,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,SLC34A2,LCN2,S100A9,XAGE1B,PDZK1IP1,XAGE1A,ADGRF5,TNFRSF6B,S100A14,PI3
ACH-000934,MDAMB361,MDAMB361_BREAST,Female,Breast Cancer,Carcinoma,breast,breast_carcinoma,ERpos_HER2pos,breast,SCGB2A2,TCN1,CALML5,ALDH3B2,TFF3,MUCL1,ALOX15B,SPDEF,ADIRF,TFF1
ACH-000935,MDST8,MDST8_LARGE_INTESTINE,Unknown,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,CCL2,COL6A2,SFRP1,SERPINB2,KRTAP2-3,SIGLEC15,SERPINE1,MMP2,IL1B,DKK3
ACH-000936,EFO27,EFO27_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, endometrioid",ovary,ovary_adenocarcinoma,endometrioid,ovary,KRT81,KRT5,KRT14,MAL,KRT7,CD70,FABP4,ALPP,KRT19,PTGIS
ACH-000937,PF382,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",blood,ALL,t_cell,blood,CD3D,LCK,CD3E,CHI3L2,MYO7B,ALDH1A2,MYO1G,IL2RG,AIF1,SH2D1A
ACH-000938,NALM6,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",blood,ALL,b_cell,blood,IGLL1,DNTT,TCL1A,VPREB1,CD79B,MT1G,NIBAN3,VPREB3,HLA-DRA,MT1H
ACH-000939,SKUT1,SKUT1_SOFT_TISSUE,Female,Sarcoma,Leiomyosarcoma,soft_tissue,leiomyosarcoma,,soft_tissue,ALDH1A1,IL13RA2,RGS4,DDIT4L,PRAC1,KRTAP2-3,RGS5,BARX1,GJA1,COL1A2
ACH-000940,AN3CA,AN3CA_ENDOMETRIUM,Female,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,uterus,endometrial_adenocarcinoma,,uterus,MGP,MEST,COL1A2,SHISA3,PKDCC,MAGEA4,AKR1C2,ALDH1A2,GAGE1,MEOX2
ACH-000941,HEC1B,HEC1B_ENDOMETRIUM,Female,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,uterus,endometrial_adenocarcinoma,,uterus,SST,SPON1,SPP1,FXYD2,S100A1,CLDN1,VCAN,ALDH3A1,PAX8,SCIN
ACH-000942,HPBALL,HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",blood,ALL,t_cell,blood,CD1E,CD3D,CD1B,CD3E,MYLPF,CD8B,ZAP70,LEF1,CD1A,CD4
ACH-000943,RKO,RKO_LARGE_INTESTINE,Unknown,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,RGS4,S100A2,BCL2A1,G0S2,SHANK1,MT1E,MAP1LC3C,HGF,DGKI,CD274
ACH-000944,NAMALWA,NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,lymphocyte,TCL1A,JCHAIN,CD79B,CCL3L3,CCL4L2,IGLL5,CD48,MZB1,CD79A,RCSD1
ACH-000945,NCIH650,NCIH650_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,IL1B,MMP1,TFPI2,SERPINB2,STC1,CXCL5,GFPT2,CACNA2D4,C15orf48,MAGEB2
ACH-000946,HEC265,HEC265_ENDOMETRIUM,Female,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,uterus,endometrial_adenocarcinoma,,uterus,EDN2,F3,SERPINA1,KRT81,ALPK2,CST6,LAMC2,IGFN1,LAMA3,KRT7
ACH-000947,OVK18,OVK18_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, endometrioid",ovary,ovary_adenocarcinoma,endometrioid,ovary,RGS8,SLC34A2,SPP1,CLDN11,KIT,TBX2,HOXC12,MYOC,RGS16,EDARADD
ACH-000948,2313287,2313287_STOMACH,Male,Gastric Cancer,Adenocarcinoma,gastric,gastric_adenocarcinoma,,gastric,S100P,TFF1,MUC5B,GPX2,AKR1C2,AGR2,CEACAM5,MUC13,S100A14,TCN1
ACH-000949,TGBC11TKB,TGBC11TKB_STOMACH,Female,Gastric Cancer,Adenocarcinoma,gastric,gastric_adenocarcinoma,,gastric,OSR1,SLC6A20,IFI27,S100P,ADIRF,IFITM1,BMP4,PPP1R1B,FXYD3,LYZ
ACH-000950,LOVO,LOVO_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,REG4,TSPAN8,HMGCS2,CALB1,PCP4,PLBD1,CDH17,HBA1,GCNT3,MT1A
ACH-000951,NCIH2342,NCIH2342_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,FOLR1,ALPP,CLIC3,XAGE1B,AKR1C2,S100P,SFTA2,S100A9,TNNT2,VGLL1
ACH-000952,MDAPCA2B,MDAPCA2B_PROSTATE,Male,Prostate Cancer,Adenocarcinoma,prostate,prostate_adenocarcinoma,,prostate,KLK3,KLK2,MSMB,DAPL1,PRAC1,FOLH1,SPON2,CYP4F8,TMPRSS2,HLA-DRA
ACH-000953,SUPT1,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",blood,ALL,t_cell,blood,CD3D,CD1E,CD1B,CD3E,MAL,AIF1,LEF1,PTCRA,CD3G,DTX1
ACH-000954,HEC1A,HEC1A_ENDOMETRIUM,Female,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,uterus,endometrial_adenocarcinoma,,uterus,FXYD2,SPP1,CLDN16,SFTA2,HAVCR1,DPP4,TM4SF4,S100A1,CALB1,EREG
ACH-000955,SNU407,SNU407_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,CALCB,MT4,KLK10,AGR2,S100P,FAM3D,PHGR1,TSPAN8,MT3,KRT5
